,Question,History8,Rewrite
122,Not quite. I want to know about career opportunities related to animals.,"I like fashion and animals. What career options should I consider? |  |  |  |  |  | Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? |  Models and actors often use electronic portfolios to showcase their career with a digital display of their photos, biographies and skills | What are the common entry requirements for a Bachelor of Fine Arts program? |  Applicants usually have to submit sketches and other examples of their artistic ability | I’ll consider those. How about my career options for my other interest in animals? |  Because the job markets in the fashion and journalism industries can be competitive, you may want to pursue a college internship in your professional area of interest",Not quite. I want to know about career opportunities related to animals.
123,How do I become a vet?,"I like fashion and animals. What career options should I consider? |  |  |  |  |  |  |  Models and actors often use electronic portfolios to showcase their career with a digital display of their photos, biographies and skills | What are the common entry requirements for a Bachelor of Fine Arts program? |  Applicants usually have to submit sketches and other examples of their artistic ability | I’ll consider those. How about my career options for my other interest in animals? |  Because the job markets in the fashion and journalism industries can be competitive, you may want to pursue a college internship in your professional area of interest | Not quite. I want to know about career opportunities related to animals. |  Show Me Schools View 10 Popular Schools »Individuals who love animals may choose to pursue a career as a pet groomer, zoologist or veterinary technician",How do I become a veterinarian?
124,What are the other steps?,"I like fashion and animals. What career options should I consider? |  |  |  |  |  |  |  | What are the common entry requirements for a Bachelor of Fine Arts program? |  Applicants usually have to submit sketches and other examples of their artistic ability | I’ll consider those. How about my career options for my other interest in animals? |  Because the job markets in the fashion and journalism industries can be competitive, you may want to pursue a college internship in your professional area of interest | Not quite. I want to know about career opportunities related to animals. |  Show Me Schools View 10 Popular Schools »Individuals who love animals may choose to pursue a career as a pet groomer, zoologist or veterinary technician | How do I become a veterinarian? |  How to Become a Veterinarian Follow these steps to become a veterinarian: Step 1: Complete a Bachelor's Degree Program Most schools of veterinary medicine require or prefer applicants to have a bachelor's degree",What are the other steps to become a veterinarian?
125,I understand that licenses are required. Tell me more about that.,"I like fashion and animals. What career options should I consider? |  |  |  |  |  |  |  |  |  Applicants usually have to submit sketches and other examples of their artistic ability | I’ll consider those. How about my career options for my other interest in animals? |  Because the job markets in the fashion and journalism industries can be competitive, you may want to pursue a college internship in your professional area of interest | Not quite. I want to know about career opportunities related to animals. |  Show Me Schools View 10 Popular Schools »Individuals who love animals may choose to pursue a career as a pet groomer, zoologist or veterinary technician | How do I become a veterinarian? |  How to Become a Veterinarian Follow these steps to become a veterinarian: Step 1: Complete a Bachelor's Degree Program Most schools of veterinary medicine require or prefer applicants to have a bachelor's degree | What are the other steps to become a veterinarian? |  The third year may focus on clinical studies in which students come in to contact with living animals and practice using the knowledge and skills they've gained in the previous two years to make diagnoses and recommend possible treatments",I understand that licenses are required to work as a veterinarian in the US. Tell me more about that.
126,What about a way to combine both of my interests?,"I like fashion and animals. What career options should I consider? |  |  |  |  |  |  |  |  |  | I’ll consider those. How about my career options for my other interest in animals? |  Because the job markets in the fashion and journalism industries can be competitive, you may want to pursue a college internship in your professional area of interest | Not quite. I want to know about career opportunities related to animals. |  Show Me Schools View 10 Popular Schools »Individuals who love animals may choose to pursue a career as a pet groomer, zoologist or veterinary technician | How do I become a veterinarian? |  How to Become a Veterinarian Follow these steps to become a veterinarian: Step 1: Complete a Bachelor's Degree Program Most schools of veterinary medicine require or prefer applicants to have a bachelor's degree | What are the other steps to become a veterinarian? |  The third year may focus on clinical studies in which students come in to contact with living animals and practice using the knowledge and skills they've gained in the previous two years to make diagnoses and recommend possible treatments | I understand that licenses are required to work as a veterinarian in the US. Tell me more about that. |  Following graduation, some individuals choose to participate in a 1-year internship to fine-tune their veterinary skills and possibly secure more rapid advancement in the field",What about a way to combine my interests in fashion and animals?
127,My dog has been shaking and tilting its head a lot recently. What could be wrong?,,My dog has been shaking and tilting its head a lot recently. What could be wrong?
128,I just checked and there’s swelling in the outer portion. What could it be?,"My dog has been shaking and tilting its head a lot recently. What could be wrong? |  When your dog starts shaking their head like that, examine the ears, eyes, head, neck and skin carefully",I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of?
129,How dangerous could these be?,"My dog has been shaking and tilting its head a lot recently. What could be wrong? |  | I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? |  Inflammation is an acute (immediate) response of the body towards any pathological (disease) condition, thus swelling as a characteristic of inflammation may be the result of any dog ear problem",How dangerous could the inflammation or canine ear hematoma in my dog’s ears be?
130,I live in a remote area. How can I treat it at home?,"My dog has been shaking and tilting its head a lot recently. What could be wrong? |  |  |  Inflammation is an acute (immediate) response of the body towards any pathological (disease) condition, thus swelling as a characteristic of inflammation may be the result of any dog ear problem | How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? |  If the hematoma reaches the base of the ear and you let it heal naturally it can close off the ear canal and condemn your dog to chronic and painful ear infections",I live in a remote area. How can I treat my dog’s ear infection at home?
131,My cat is also having similar symptoms. Would that work for her as well?,My dog has been shaking and tilting its head a lot recently. What could be wrong? |  |  |  | How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? |  If the hematoma reaches the base of the ear and you let it heal naturally it can close off the ear canal and condemn your dog to chronic and painful ear infections | I live in a remote area. How can I treat my dog’s ear infection at home? |  This is a good remedy if a dog is prone to frequent infections because of the time it takes to make,My cat is also having similar symptoms to my dog. Would the home remedy work for her as well?
132,Thanks. I am also worried that they are susceptible to the coronavirus.,My dog has been shaking and tilting its head a lot recently. What could be wrong? |  |  |  |  |  If the hematoma reaches the base of the ear and you let it heal naturally it can close off the ear canal and condemn your dog to chronic and painful ear infections | I live in a remote area. How can I treat my dog’s ear infection at home? |  This is a good remedy if a dog is prone to frequent infections because of the time it takes to make | My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? |  They are very soothing to the kitty’s ears and have worked wonders for getting rid of the ear mites,Thanks. I am also worried that my pets are susceptible to the coronavirus.
133,"Okay, but I also heard that a few have been reported to be infected.","My dog has been shaking and tilting its head a lot recently. What could be wrong? |  |  |  |  |  | I live in a remote area. How can I treat my dog’s ear infection at home? |  This is a good remedy if a dog is prone to frequent infections because of the time it takes to make | My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? |  They are very soothing to the kitty’s ears and have worked wonders for getting rid of the ear mites | Thanks. I am also worried that my pets are susceptible to the coronavirus. | Dear Heloise: With everything I've heard about the coronavirus, can my dog get it? — Jackie in Illinois Jackie in Illinois: Here is what the experts know now","Okay, but I also heard that a few animals have been reported to be infected with the coronavirus."
134,How can I protect them?,"My dog has been shaking and tilting its head a lot recently. What could be wrong? |  |  |  |  |  |  |  This is a good remedy if a dog is prone to frequent infections because of the time it takes to make | My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? |  They are very soothing to the kitty’s ears and have worked wonders for getting rid of the ear mites | Thanks. I am also worried that my pets are susceptible to the coronavirus. | Dear Heloise: With everything I've heard about the coronavirus, can my dog get it? — Jackie in Illinois Jackie in Illinois: Here is what the experts know now | Okay, but I also heard that a few animals have been reported to be infected with the coronavirus. |  The case has raised the specter that dogs might be swept into the epidemic, which, even now, public health officials say does not appear to infect or be spread by pets",How can I protect my pets from the coronavirus?
135,Ok. But what about my dog?,"My dog has been shaking and tilting its head a lot recently. What could be wrong? |  |  |  |  |  |  |  | My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? |  They are very soothing to the kitty’s ears and have worked wonders for getting rid of the ear mites | Thanks. I am also worried that my pets are susceptible to the coronavirus. | Dear Heloise: With everything I've heard about the coronavirus, can my dog get it? — Jackie in Illinois Jackie in Illinois: Here is what the experts know now | Okay, but I also heard that a few animals have been reported to be infected with the coronavirus. |  The case has raised the specter that dogs might be swept into the epidemic, which, even now, public health officials say does not appear to infect or be spread by pets | How can I protect my pets from the coronavirus? |  Making sure your cat's healthy and has a strong immune system is important in preventing disease",Ok. But what about protecting my dog from the coronavirus?
136,Why did Michael Jackson go so far to alter his appearance?,,Why did Michael Jackson go so far to alter his appearance?
137,What else was it about?,Why did Michael Jackson go so far to alter his appearance? |  Michael would later have procedures to try to limit the appearance of his acne scars,What else was Michael Jackson’s vexed relationship to his skin about?
138,Okay. Did the diet help?,"Why did Michael Jackson go so far to alter his appearance? |  | What else was Michael Jackson’s vexed relationship to his skin about? |  “For this procedure, as well as Michael’s continuing struggles with discoid lupus and acne scarring— plus his continuing experiments with his nose, chin, and cheekbones— Klein and Debbie Rowe administered pain medication,” Knopper writes",Okay. Did the Jacksons vegetarian diet help to fight their acne?
139,Never mind. Tell me more about the Pepsi commercial.,"Why did Michael Jackson go so far to alter his appearance? |  |  |  “For this procedure, as well as Michael’s continuing struggles with discoid lupus and acne scarring— plus his continuing experiments with his nose, chin, and cheekbones— Klein and Debbie Rowe administered pain medication,” Knopper writes | Okay. Did the Jacksons vegetarian diet help to fight their acne? |  Add zinc-rich foods such as kefir, yogurt, lamb, pumpkin seeds and chicken",Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin.
140,How so?,"Why did Michael Jackson go so far to alter his appearance? |  |  |  | Okay. Did the Jacksons vegetarian diet help to fight their acne? |  Add zinc-rich foods such as kefir, yogurt, lamb, pumpkin seeds and chicken | Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin. |  Footage taken at the time reveals the harsh nature of the burn, with Jackson's scalp still glowing In the long term, it was this fateful day that was later cited as the turning point in Jackson's rollercoaster life",How did Michael Jackson’s dependence on medicine lead to his death?
141,Okay. How did it affect his art and legacy?,"Why did Michael Jackson go so far to alter his appearance? |  |  |  |  |  Add zinc-rich foods such as kefir, yogurt, lamb, pumpkin seeds and chicken | Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin. |  Footage taken at the time reveals the harsh nature of the burn, with Jackson's scalp still glowing In the long term, it was this fateful day that was later cited as the turning point in Jackson's rollercoaster life | How did Michael Jackson’s dependence on medicine lead to his death? |  That dependence, coupled with financial difficulties that would compel him to agree to a demanding string of performances in London in 2009, set the table for Jackson to become more reliant on Murray, a doctor facing his own money troubles",Okay. How did Michael Jackson’s skin conditions affect his art and legacy?
142,I remember there was a global coffee shortage some time ago. Can you tell me more about that?,,I remember there was a global coffee shortage some time ago. Can you tell me more about that?
143,What caused the drought?,"I remember there was a global coffee shortage some time ago. Can you tell me more about that? |  But last month, the worst drought in decades hit Brazil's coffee belt region, destroying crop yields and causing the price of coffee to shoot up by more than 50 percent so far this year",What caused the drought in Brazil’s coffee belt region?
144,I also heard that other Latin American countries had coffee production issues. Was the disruption widespread?,"I remember there was a global coffee shortage some time ago. Can you tell me more about that? |  | What caused the drought in Brazil’s coffee belt region? | Deforestation causing São Paulo drought Written by Chris Fitch Published in Cities Deforestation near São Paulo, Brazil AFNR05 Feb 2015Brazil possesses 12 per cent of the world’s freshwater, and yet São Paulo – the biggest and richest city in South America – is suffering from severe drought with deforestation getting the blame Water rationing",I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread?
145,It sounds like they are not related. What are its origins? And how did it spread?,"I remember there was a global coffee shortage some time ago. Can you tell me more about that? |  |  | Deforestation causing São Paulo drought Written by Chris Fitch Published in Cities Deforestation near São Paulo, Brazil AFNR05 Feb 2015Brazil possesses 12 per cent of the world’s freshwater, and yet São Paulo – the biggest and richest city in South America – is suffering from severe drought with deforestation getting the blame Water rationing | I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? |  It is affecting the price of some of those coffees in the United States",It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread?
146,Okay. The US government tried to help the situation. What did they do to help?,"I remember there was a global coffee shortage some time ago. Can you tell me more about that? |  |  |  | I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? |  It is affecting the price of some of those coffees in the United States | It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? |  There is no cure at the moment, although farms have managed to reduce their impact by replanting infected farms with hybrids that have a strong genetic resistance to rust",Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help?
147,"No, I want to know what they did to help with the coffee rust epidemic in Latin America.","I remember there was a global coffee shortage some time ago. Can you tell me more about that? |  |  |  |  |  It is affecting the price of some of those coffees in the United States | It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? |  There is no cure at the moment, although farms have managed to reduce their impact by replanting infected farms with hybrids that have a strong genetic resistance to rust | Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? |  The Global Cities Initiative, a joint project of the Brookings Institution and JPMorgan Chase, will oversee an in-depth study to help the area figure out how to boost exports to offset some of the economic pain caused by the slowdown in federal spending","No, I want to know what the United States did to help with the coffee rust epidemic in Latin America."
148,Okay. What did big coffee companies do? How did they try to help?,"I remember there was a global coffee shortage some time ago. Can you tell me more about that? |  |  |  |  |  | It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? |  There is no cure at the moment, although farms have managed to reduce their impact by replanting infected farms with hybrids that have a strong genetic resistance to rust | Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? |  The Global Cities Initiative, a joint project of the Brookings Institution and JPMorgan Chase, will oversee an in-depth study to help the area figure out how to boost exports to offset some of the economic pain caused by the slowdown in federal spending | No, I want to know what the United States did to help with the coffee rust epidemic in Latin America. |  And even apart from coffee rust, there are other long-term trends that suggest coffee prices will just continue rising",Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic?
149,How did all these affect global consumption?,"I remember there was a global coffee shortage some time ago. Can you tell me more about that? |  |  |  |  |  |  |  There is no cure at the moment, although farms have managed to reduce their impact by replanting infected farms with hybrids that have a strong genetic resistance to rust | Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? |  The Global Cities Initiative, a joint project of the Brookings Institution and JPMorgan Chase, will oversee an in-depth study to help the area figure out how to boost exports to offset some of the economic pain caused by the slowdown in federal spending | No, I want to know what the United States did to help with the coffee rust epidemic in Latin America. |  And even apart from coffee rust, there are other long-term trends that suggest coffee prices will just continue rising | Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic? |  “Supporting the farmer’s ability to access information, technology and resources allows them to adapt to these uncertainties and ensures the longevity of our industry’s supply chain,” said Craig Russell, Starbucks Global Coffee executive vice president",How did the drought in Brazil and the coffee rust disease in Latin America affect global coffee consumption?
150,"That’s interesting, consumption is not very elastic. Would investing in it make sense?","I remember there was a global coffee shortage some time ago. Can you tell me more about that? |  |  |  |  |  |  |  | Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? |  The Global Cities Initiative, a joint project of the Brookings Institution and JPMorgan Chase, will oversee an in-depth study to help the area figure out how to boost exports to offset some of the economic pain caused by the slowdown in federal spending | No, I want to know what the United States did to help with the coffee rust epidemic in Latin America. |  And even apart from coffee rust, there are other long-term trends that suggest coffee prices will just continue rising | Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic? |  “Supporting the farmer’s ability to access information, technology and resources allows them to adapt to these uncertainties and ensures the longevity of our industry’s supply chain,” said Craig Russell, Starbucks Global Coffee executive vice president | How did the drought in Brazil and the coffee rust disease in Latin America affect global coffee consumption? |  Coffee is an exotic plant that can only be grown in very specific ecosystems thousands of miles away, but we've come to see it as a daily staple, and many Americans who depend on drinking it will do so regardless of price increases","That’s interesting, coffee consumption is not very elastic. Would investing in coffee make sense?"
151,I heard Bernie Sanders was ill recently. What happened?,,I heard Bernie Sanders was ill recently. What happened?
152,What did the doctors do?,"I heard Bernie Sanders was ill recently. What happened? | ), who suffered a heart attack in October and is the oldest major candidate for president in 2020, released information from three of his doctors Monday saying that he sustained “modest heart muscle damage” but is in good health and capable of doing the job",What did the doctors do to treat Bernie Sanders when he had a heart attack?
153,How did it affect the campaign?,"I heard Bernie Sanders was ill recently. What happened? |  | What did the doctors do to treat Bernie Sanders when he had a heart attack? | Democratic presidential candidate Bernie Sanders underwent a heart procedure after experiencing chest pains at an event, his campaign said Wednesday",How did the heart attack affect Bernie Sanders’ presidential campaign?
154,How did he attempt to regain the public's confidence?,"I heard Bernie Sanders was ill recently. What happened? |  |  | Democratic presidential candidate Bernie Sanders underwent a heart procedure after experiencing chest pains at an event, his campaign said Wednesday | How did the heart attack affect Bernie Sanders’ presidential campaign? | ) nor his campaign offered details about how serious his condition was, leaving open the question of how soon he would reemerge and whether voters would lose confidence in his ability to serve as president",How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack?
155,Okay. What did the records say?,"I heard Bernie Sanders was ill recently. What happened? |  |  |  | How did the heart attack affect Bernie Sanders’ presidential campaign? | ) nor his campaign offered details about how serious his condition was, leaving open the question of how soon he would reemerge and whether voters would lose confidence in his ability to serve as president | How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? |  LeWinter’s letter was one of three provided by the Sanders campaign, which had said it would release the candidate’s health records by the end of the year",Okay. What did Bernie Sanders’ health records released after his heart attack say?
156,"Okay, I'd like to know more about his decision.","I heard Bernie Sanders was ill recently. What happened? |  |  |  |  | ) nor his campaign offered details about how serious his condition was, leaving open the question of how soon he would reemerge and whether voters would lose confidence in his ability to serve as president | How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? |  LeWinter’s letter was one of three provided by the Sanders campaign, which had said it would release the candidate’s health records by the end of the year | Okay. What did Bernie Sanders’ health records released after his heart attack say? |  But before you get too up in arms, we should realize that this issue is less clear-cut than it looks",Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack.
157,What about the other candidates? Did they release theirs?,"I heard Bernie Sanders was ill recently. What happened? |  |  |  |  |  | How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? |  LeWinter’s letter was one of three provided by the Sanders campaign, which had said it would release the candidate’s health records by the end of the year | Okay. What did Bernie Sanders’ health records released after his heart attack say? |  But before you get too up in arms, we should realize that this issue is less clear-cut than it looks | Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack. | Sanders, who has committed to releasing his medical records before the first primary votes but has not yet done so, said Tuesday he would provide the information at “the appropriate time","What about the other Democratic presidential candidates, did they release their health records?"
158,Should there be an age limit on the presidency?,"I heard Bernie Sanders was ill recently. What happened? |  |  |  |  |  |  |  LeWinter’s letter was one of three provided by the Sanders campaign, which had said it would release the candidate’s health records by the end of the year | Okay. What did Bernie Sanders’ health records released after his heart attack say? |  But before you get too up in arms, we should realize that this issue is less clear-cut than it looks | Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack. | Sanders, who has committed to releasing his medical records before the first primary votes but has not yet done so, said Tuesday he would provide the information at “the appropriate time | What about the other Democratic presidential candidates, did they release their health records? |  Trump, I can state unequivocally, will be the healthiest individual ever elected to the presidency” — a letter it later emerged that Trump had dictated himself",Should there be an age limit on the presidency of the United States?
159,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started?,,I'm about to become a dad and I want to get fit before it gets too hard. How do I get started?
160,Okay. Should I try CrossFit?,"I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? | Watching a video of my daughter, I catch myself in the background and think, Ugh, you’re moving like him already? I worry that my daughter will someday wish I’d work the burger line at the team picnic rather than make her cringe by joining in the game",Okay. Should I try CrossFit to get fit?
161,That sounds very intense but useful for me. How does it compare with just weightlifting?,"I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? |  | Okay. Should I try CrossFit to get fit? |  CrossFit workouts mix weightlifting exercises, gymnastics and cardio activities such as jump rope and rowing into short, intense combinations that change daily",That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit?
162,I would rather be safe. Do the positives outweigh the negatives?,"I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? |  |  |  CrossFit workouts mix weightlifting exercises, gymnastics and cardio activities such as jump rope and rowing into short, intense combinations that change daily | That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit? |  claimed to be based on scientific errors and material from retracted or mis-represented studies",I would rather be safe. Do the positives of Crossfit outweigh the negatives?
163,I’ve got four weeks. What about cardio?,"I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? |  |  |  | That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit? |  claimed to be based on scientific errors and material from retracted or mis-represented studies | I would rather be safe. Do the positives of Crossfit outweigh the negatives? |  But while many yoga instructors tend to focus more on calming the mind and body, Herz says that CrossFit is spiritual in that every workout asks you to dig deeply",I’ve got four weeks. What about cardio for getting fit?
164,Okay. What role will diet play?,"I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? |  |  |  |  |  claimed to be based on scientific errors and material from retracted or mis-represented studies | I would rather be safe. Do the positives of Crossfit outweigh the negatives? |  But while many yoga instructors tend to focus more on calming the mind and body, Herz says that CrossFit is spiritual in that every workout asks you to dig deeply | I’ve got four weeks. What about cardio for getting fit? |  The point of this article isn’t to push cardio on people whose bodies don’t respond to it; it’s to point out that some of us are built more for distance work, and that’s OK, too",Okay. What role will diet play in getting fit?
165,What other meal frequencies can I try?,"I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? |  |  |  |  |  | I would rather be safe. Do the positives of Crossfit outweigh the negatives? |  But while many yoga instructors tend to focus more on calming the mind and body, Herz says that CrossFit is spiritual in that every workout asks you to dig deeply | I’ve got four weeks. What about cardio for getting fit? |  The point of this article isn’t to push cardio on people whose bodies don’t respond to it; it’s to point out that some of us are built more for distance work, and that’s OK, too | Okay. What role will diet play in getting fit? |  Choosing meals full of fruits, vegetables, lean proteins and healthy fats",What other meal frequencies can I try to boost my metabolism?
166,Which one’s better?,"I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? |  |  |  |  |  |  |  But while many yoga instructors tend to focus more on calming the mind and body, Herz says that CrossFit is spiritual in that every workout asks you to dig deeply | I’ve got four weeks. What about cardio for getting fit? |  The point of this article isn’t to push cardio on people whose bodies don’t respond to it; it’s to point out that some of us are built more for distance work, and that’s OK, too | Okay. What role will diet play in getting fit? |  Choosing meals full of fruits, vegetables, lean proteins and healthy fats | What other meal frequencies can I try to boost my metabolism? | Intermittent fasting allows the body to use fat as it’s primary source of energy instead of sugar",Which one’s better between eating six meals a day and intermittent fasting?
167,Okay. I would eventually like to spend time with my baby while working out too. Do you have any ideas for that?,"I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? |  |  |  |  |  |  |  | I’ve got four weeks. What about cardio for getting fit? |  The point of this article isn’t to push cardio on people whose bodies don’t respond to it; it’s to point out that some of us are built more for distance work, and that’s OK, too | Okay. What role will diet play in getting fit? |  Choosing meals full of fruits, vegetables, lean proteins and healthy fats | What other meal frequencies can I try to boost my metabolism? | Intermittent fasting allows the body to use fat as it’s primary source of energy instead of sugar | Which one’s better between eating six meals a day and intermittent fasting? |  It could allow you to enjoy bigger portioned meals (thus making your tastebuds and stomach satiated) and STILL eat fewer calories on average",Okay. I would eventually like to spend time with my baby while working out too. Do you have any ideas for that?
168,I just watched the first Jurassic Park movie and I got interested in dinosaurs and their time on earth. Can you tell me about the time when dinosaurs actually existed?,,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed?
169,Hmm. What else was characteristic about that era?,"I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? | When Were Dinosaurs Alive? Discover the Mesozoic Era In this article, we ask ‘When were dinosaurs alive?’ and explore the different periods of the Mesozoic Era",Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs?
170,Can you tell me more about the fossil records and the theory?,I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? |  | Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? |  The fossil record supports a theory of plate tectonics now widely accepted,Can you tell me more about the fossil records and the theory of plate tectonics?
171,What was it like during the time dinosaurs were on earth?,"I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? |  |  |  The fossil record supports a theory of plate tectonics now widely accepted | Can you tell me more about the fossil records and the theory of plate tectonics? |  Similar fossils of extinct plants and animals were found on opposite sides of the Atlantic Ocean* *It had been suggested that these continents were once linked by land bridges that had sunk, or washed away or just covered in water as the Earth cooled and contracted and sea levels rose",What was earth's landmass like during the Mesozoic era?
172,That's really cool. Could such a continent form again?,"I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? |  |  |  | Can you tell me more about the fossil records and the theory of plate tectonics? |  Similar fossils of extinct plants and animals were found on opposite sides of the Atlantic Ocean* *It had been suggested that these continents were once linked by land bridges that had sunk, or washed away or just covered in water as the Earth cooled and contracted and sea levels rose | What was earth's landmass like during the Mesozoic era? |  About 200 million years ago this huge continent, Pangaea, broke into many pieces, which started to drift apart",That's really cool. Could such a huge continent like Pangaea form again?
173,Okay. You mentioned three periods in the Dinosaur era. What was characteristic about the first one?,"I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? |  |  |  |  |  Similar fossils of extinct plants and animals were found on opposite sides of the Atlantic Ocean* *It had been suggested that these continents were once linked by land bridges that had sunk, or washed away or just covered in water as the Earth cooled and contracted and sea levels rose | What was earth's landmass like during the Mesozoic era? |  About 200 million years ago this huge continent, Pangaea, broke into many pieces, which started to drift apart | That's really cool. Could such a huge continent like Pangaea form again? |  Paleozoic era (542 - 251 mya)Cambrian Ordovician Silurian Devonian Carboniferous Permian The hypothesized supercontinent Gondwana is believed to have been involved in the formation of Pangaea",Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period?
174,What about the second?,"I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? |  |  |  |  |  | What was earth's landmass like during the Mesozoic era? |  About 200 million years ago this huge continent, Pangaea, broke into many pieces, which started to drift apart | That's really cool. Could such a huge continent like Pangaea form again? |  Paleozoic era (542 - 251 mya)Cambrian Ordovician Silurian Devonian Carboniferous Permian The hypothesized supercontinent Gondwana is believed to have been involved in the formation of Pangaea | Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period? |  The mammal-like reptiles did however give rise to the first mammals, these being tiny mouse-sized animals",What was characteristic about the Jurassic Period?
175,And the last?,"I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? |  |  |  |  |  |  |  About 200 million years ago this huge continent, Pangaea, broke into many pieces, which started to drift apart | That's really cool. Could such a huge continent like Pangaea form again? |  Paleozoic era (542 - 251 mya)Cambrian Ordovician Silurian Devonian Carboniferous Permian The hypothesized supercontinent Gondwana is believed to have been involved in the formation of Pangaea | Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period? |  The mammal-like reptiles did however give rise to the first mammals, these being tiny mouse-sized animals | What was characteristic about the Jurassic Period? |  Another species of dinosaur was Brachiosaurus [ image ], one of the biggest land animals yet found",What was characteristic about the Cretaceous Period?
176,What happened to dinosaurs after then?,"I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? |  |  |  |  |  |  |  | That's really cool. Could such a huge continent like Pangaea form again? |  Paleozoic era (542 - 251 mya)Cambrian Ordovician Silurian Devonian Carboniferous Permian The hypothesized supercontinent Gondwana is believed to have been involved in the formation of Pangaea | Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period? |  The mammal-like reptiles did however give rise to the first mammals, these being tiny mouse-sized animals | What was characteristic about the Jurassic Period? |  Another species of dinosaur was Brachiosaurus [ image ], one of the biggest land animals yet found | What was characteristic about the Cretaceous Period? | 5 million years ago The Cretaceous Period is the last of the three periods of the Mezoaic Era and is described as the last period with non-flying dinosaurs, a period ending 65",What happened to dinosaurs after the Cretaceous period ended?
